THREAD_STACK_OBSERVATIONS 323
2 RUNNABLE org.kanger.primitives.Argument.isDeleted
2 RUNNABLE org.kanger.primitives.ArgumentsList.equalsStamp
2 RUNNABLE org.kanger.primitives.Solve.toString
2 RUNNABLE org.kanger.units.Domain.createStored
2 RUNNABLE org.kanger.units.Domain.equalsBase
2 RUNNABLE org.kanger.units.Domain.isStored
2 RUNNABLE org.kanger.units.Domain.setExcluded
2 RUNNABLE org.kanger.units.TVariable.isDeleted
1 BLOCKED java.util.LinkedHashSet.<init>
1 BLOCKED org.kanger.Analyzer.analyze
1 BLOCKED org.kanger.Analyzer.checkDatabase
1 BLOCKED org.kanger.Mind.<init>
1 BLOCKED org.kanger.Mind.analyze
